START_DATE,START_TIME,END_TIME
02/25/11,12:05 PM,03:05 PM
02/26/11,12:05 PM,03:05 PM
03/01/11,12:05 PM,03:05 PM
03/02/11,06:05 PM,09:05 PM
03/04/11,12:05 PM,03:05 PM
03/06/11,12:05 PM,03:05 PM
03/07/11,06:05 PM,09:05 PM
03/09/11,12:05 PM,03:05 PM
03/12/11,12:05 PM,03:05 PM
03/14/11,01:05 PM,04:05 PM
03/17/11,07:05 PM,10:05 PM
03/18/11,01:05 PM,04:05 PM
03/19/11,01:05 PM,04:05 PM
03/20/11,01:05 PM,04:05 PM
03/21/11,01:05 PM,04:05 PM
03/24/11,07:05 PM,10:05 PM
03/26/11,03:10 PM,06:10 PM
03/28/11,07:15 PM,10:15 PM
03/30/11,12:45 PM,03:45 PM
04/08/11,01:35 PM,04:35 PM
04/09/11,06:05 PM,09:05 PM
04/10/11,01:05 PM,04:05 PM
04/11/11,07:15 PM,10:15 PM
04/12/11,07:15 PM,10:15 PM
04/13/11,07:15 PM,10:15 PM
04/22/11,07:15 PM,10:15 PM
04/23/11,01:10 PM,04:10 PM
04/24/11,01:05 PM,04:05 PM
05/06/11,07:15 PM,10:15 PM
05/07/11,06:05 PM,09:05 PM
05/08/11,01:05 PM,04:05 PM
05/10/11,07:15 PM,10:15 PM
05/11/11,07:15 PM,10:15 PM
05/12/11,12:45 PM,03:45 PM
05/20/11,07:15 PM,10:15 PM
05/21/11,04:10 PM,07:10 PM
05/22/11,01:05 PM,04:05 PM
05/24/11,07:15 PM,10:15 PM
05/25/11,07:15 PM,10:15 PM
05/26/11,12:45 PM,03:45 PM
06/03/11,07:15 PM,10:15 PM
06/04/11,01:05 PM,04:05 PM
06/05/11,01:05 PM,04:05 PM
06/06/11,07:15 PM,10:15 PM
06/07/11,07:15 PM,10:15 PM
06/08/11,12:45 PM,03:45 PM
06/09/11,07:15 PM,10:15 PM
06/10/11,07:15 PM,10:15 PM
06/11/11,01:10 PM,04:10 PM
06/12/11,01:05 PM,04:05 PM
06/21/11,07:15 PM,10:15 PM
06/22/11,07:15 PM,10:15 PM
06/23/11,12:45 PM,03:45 PM
06/24/11,07:15 PM,10:15 PM
06/25/11,06:05 PM,09:05 PM
06/26/11,01:05 PM,04:05 PM
07/04/11,02:05 PM,05:05 PM
07/05/11,07:15 PM,10:15 PM
07/06/11,07:15 PM,10:15 PM
07/07/11,07:15 PM,10:15 PM
07/08/11,07:15 PM,10:15 PM
07/09/11,01:10 PM,04:10 PM
07/10/11,05:05 PM,08:05 PM
07/12/11,03:33 AM,06:33 AM
07/18/11,07:15 PM,10:15 PM
07/19/11,07:15 PM,10:15 PM
07/20/11,12:45 PM,03:45 PM
07/22/11,07:15 PM,10:15 PM
07/23/11,06:05 PM,09:05 PM
07/24/11,01:05 PM,04:05 PM
08/01/11,07:15 PM,10:15 PM
08/02/11,07:15 PM,10:15 PM
08/03/11,12:45 PM,03:45 PM
08/04/11,07:15 PM,10:15 PM
08/05/11,07:15 PM,10:15 PM
08/06/11,01:10 PM,04:10 PM
08/07/11,01:05 PM,04:05 PM
08/08/11,07:15 PM,10:15 PM
08/09/11,07:15 PM,10:15 PM
08/10/11,12:45 PM,03:45 PM
08/23/11,07:15 PM,10:15 PM
08/24/11,07:15 PM,10:15 PM
08/25/11,07:15 PM,10:15 PM
08/26/11,07:15 PM,10:15 PM
08/27/11,06:05 PM,09:05 PM
08/28/11,01:05 PM,04:05 PM
08/29/11,07:15 PM,10:15 PM
08/30/11,07:15 PM,10:15 PM
08/31/11,12:45 PM,03:45 PM
09/02/11,07:15 PM,10:15 PM
09/03/11,06:05 PM,09:05 PM
09/04/11,01:05 PM,04:05 PM
09/09/11,07:15 PM,10:15 PM
09/10/11,01:10 PM,04:10 PM
09/11/11,01:05 PM,04:05 PM
09/12/11,07:15 PM,10:15 PM
09/13/11,07:15 PM,10:15 PM
09/14/11,12:45 PM,03:45 PM
09/26/11,07:15 PM,10:15 PM
09/27/11,07:15 PM,10:15 PM
09/28/11,12:45 PM,03:45 PM
